caseid,untrustworthy_n_pre,untrustworthy_n_test,total_n_pre,total_n_test,untrustworthy_flag_pre,untrustworthy_flag_test,election_untrustworthy_n_pre,election_untrustworthy_n_test,election_untrustworthy_flag_pre,election_untrustworthy_flag_test,percentage_of_total_pre,percentage_of_total_test,college,trump_support,female,non_white,knowledge,interest,age4_30_44,age4_45_64,age4_65,age4_under_30,race4_black,race4_hispanic,race4_other,race4_white,educ4_college_grad,educ4_hs_or_less,educ4_postgrad,educ4_some_college,weight,won_election_trump,trump_support_pre
1212667557,0,0,1225,5100,0,0,0,0,0,0,0,0,1,0,1,1,1,4,0,0,0,1,1,0,0,0,1,0,0,0,0.352786359239064,0,0
1215723847,0,0,356,1652,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,0,0,0,0,0,1,0,1,0,0,3.11150983967508,0,1
1215932733,0,0,4392,6258,0,0,0,0,0,0,0,0,1,0,1,1,4,4,0,1,0,0,1,0,0,0,0,0,1,0,0.341305316398416,0,0
1218231017,0,2,4392,16773,0,1,0,0,0,0,0,1.192392535622727e-4,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0.885798899016325,0,0
1219018147,0,0,78,94,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,1,0,0,0,0,0,1,0,0,0,1,0.926511542780597,0,1
1219664999,0,0,3059,10284,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0.516053832625614,0,0
1219714043,0,0,6231,14941,0,0,0,0,0,0,0,0,1,0,0,1,3,4,0,1,0,0,0,0,1,0,1,0,0,0,0.102586250700567,0,0
1219750285,4,15,1532,8046,1,1,1,2,1,1,0.00261096605744125,0.00186428038777032,1,0,0,0,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0.367083525984642,0,0
1219803947,1,4,2028,5676,1,1,0,0,0,0,4.930966469428008e-4,7.047216349541931e-4,0,1,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.617671031292985,1,1
1219965835,0,1,2259,6507,0,1,0,0,0,0,0,1.536806516059628e-4,0,1,1,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.35664479654187897,1,1
1219971795,0,6,10288,33109,0,1,0,0,0,0,0,1.8121960796158143e-4,1,0,1,0,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0.340439312699196,0,0
1220186479,0,0,4370,19096,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,1,0,0,0,0,0,1,0,1,0,0,0.555042321695657,0,1
1220420251,0,1,3120,11026,0,1,0,0,0,0,0,9.06947215672048e-5,0,1,1,0,3,2,0,1,0,0,0,0,0,1,0,0,0,1,2.46670523839869,0,1
1220420269,0,3,1126,2731,0,1,0,0,0,0,0,0.00109849871841816,1,1,1,0,2,4,0,1,0,0,0,0,0,1,1,0,0,0,0.102586250700567,1,1
1220542523,1,0,4279,11313,1,0,0,0,0,0,2.3369946249123628e-4,0,1,1,1,0,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0.388802994482753,1,1
1220542597,0,0,6020,16965,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0.943035698805773,0,0
1220543457,0,0,1281,4709,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0.344356001406632,0,0
1220599317,0,0,1007,2137,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.483650715290684,0,1
1220647965,6,12,4652,15439,1,1,0,6,0,1,0.00128976784178847,7.772524127210312e-4,0,1,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.617671031292985,1,1
1220691511,0,0,2211,4351,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0.373252443741463,0,0
1220727315,1,7,3215,5339,1,1,0,0,0,0,3.1104199066874026e-4,0.00131110694886682,0,0,0,0,3,4,0,1,0,0,0,0,0,1,0,1,0,0,0.353496639790311,0,0
1220731943,1,0,2372,5056,1,0,0,0,0,0,4.2158516020236085e-4,0,0,0,1,0,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0.309834835423125,0,0
1220774245,2,8,2071,9900,1,1,1,3,1,1,9.657170449058426e-4,8.080808080808081e-4,1,1,1,0,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0.524413252090591,1,1
1220774707,2,1,18259,40028,1,1,0,0,0,0,1.0953502382386768e-4,2.4982512241431e-5,0,0,1,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.253601533813438,0,0
1220779883,0,0,11,58,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,2.42788996632428,0,1
1220819481,0,0,16854,23095,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0.102586250700567,0,0
1220859525,0,0,433,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0.517068911072594,1,1
1220931931,0,10,4635,10203,0,1,0,0,0,0,0,9.801038910124474e-4,0,1,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.47788250277724,1,1
1220933007,0,0,453,2221,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,1,0,1,0,0,0,0,0,0,1,0.629673231870103,0,0
1220988095,0,1,1314,2987,0,1,0,0,0,0,0,3.3478406427854036e-4,1,0,1,0,3,1,0,1,0,0,0,0,0,1,1,0,0,0,1.63361317676752,0,0
1221091883,0,0,50,1,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,1,0,0,0,0,0,1,0,0,0,1,0.237361372054388,1,1
1221094863,0,0,6696,14547,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,1,0,1.1709452832462801,0,0
1221096791,0,0,10889,32303,0,0,0,0,0,0,0,0,1,0,1,0,3,3,1,0,0,0,0,0,0,1,1,0,0,0,1.45196833959979,0,0
1221135067,0,0,1406,2038,0,0,0,0,0,0,0,0,1,0,1,1,3,4,0,1,0,0,0,0,1,0,1,0,0,0,0.327529495641434,0,0
1221135087,0,0,7956,20224,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,1.01802933941028,0,1
1221138629,1,24,24408,33618,1,1,0,5,0,1,4.0970173713536546e-5,7.139032661074424e-4,0,1,1,0,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0.427699051605798,1,1
1221139991,0,0,157,400,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,1,2.92037915954642,0,1
1221141329,0,0,101,30,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,6.41164066878541,0,1
1221142005,0,0,9037,24478,0,0,0,0,0,0,0,0,1,0,0,1,4,4,0,1,0,0,1,0,0,0,1,0,0,0,0.52119094747771,0,0
